NAME,Species,Origin, latitude, longitude
CHOCOLATE,White Sucker,Natural Occurrence,44.6385661,-63.62349599
CHURCH,Brook Trout,Natural Occurrence,44.83721024,-63.26135478
CONROD,Lake Whitefish,Natural Occurrence,44.77365654,-63.2604487
COOKS,Brook Trout,Natural Occurrence,45.00545241,-63.26403471
COON,Brook Trout,Natural Occurrence,44.92686715,-62.56111282
COPPER,Brook Trout,Natural Occurrence,44.80434279,-62.69831725
COXS,Smallmouth Bass,Illegal Introduction,45.24277871,-62.75418486
CRUICKSHANK,Brook Trout,Natural Occurrence,45.1920165,-62.57308317
DOG,Brook Trout,Natural Occurrence,45.04840317,-62.35458153
DOLLAR,Brook Trout,Natural Occurrence,44.91527838,-63.32391434
DOREY,Yellow Perch,Natural Occurrence,44.64769837,-64.05825136
DRY,Brook Trout,Natural Occurrence,45.08595974,-63.03172915
DUCK,Smallmouth Bass,Illegal Introduction,44.80549085,-63.6827891
EAGLE,White Perch,Natural Occurrence,44.74393059,-63.44203558
EAST,Brook Trout,Natural Occurrence,44.7663983,-63.49519235
EAST TAYLOR BAY,Brook Trout,Natural Occurrence,44.89559148,-62.6547925
ECHO,Brook Trout,Natural Occurrence,44.71876027,-63.38208374
EGG,Brook Trout,Natural Occurrence,44.83059958,-63.51213706
EGMONT,Chain Pickerel,Illegal Introduction,44.99852673,-63.29824664
FEELY,American Eel,Natural Occurrence,44.80000305,-63.69710057
FENERTY,Smallmouth Bass,Illegal Introduction,44.82985679,-63.71706862
FERRY,Brown Trout,Legal Introduction,44.95781919,-62.77175997
FIRST,White Perch,Natural Occurrence,44.77121333,-63.66394671
FIVE ISLAND,Brook Trout,Natural Occurrence,44.66379922,-63.80627051
FLETCHER,Smallmouth Bass,Illegal Introduction,44.84217157,-63.61189616
FOURTH,Brook Trout,Natural Occurrence,44.88609225,-62.70203101
FRASER'S,Brook Trout,Natural Occurrence,44.67651385,-63.763902
FRECHMANS,Brook Trout,Natural Occurrence,44.76257088,-62.90472595
GAETZ,White Perch,Natural Occurrence,44.66678721,-63.26531845
GAMMONS,Brook Trout,Natural Occurrence,44.9105854,-62.35497309
GIBRALTAR,White Perch,Natural Occurrence,44.86153617,-63.2524274
GOOSE,Brook Trout,Natural Occurrence,44.74593005,-63.07748585
GOVERNOR,Brook Trout,Natural Occurrence,44.64288215,-63.70194993
GREEN,Brook Trout,Natural Occurrence,44.90236817,-62.41724432
HALF MILE,Brook Trout,Natural Occurrence,44.65351346,-63.74330712
HALFWAY,Yellow Perch,Natural Occurrence,44.74532779,-63.78517063
HALFWAY BROOK,Brook Trout,Natural Occurrence,44.93331763,-62.44999578
HARTSHORNE,Brook Trout,Natural Occurrence,45.10335033,-62.8671471
HATCHET,Brook Trout,Natural Occurrence,44.84637001,-62.8202482
HIGGINS,Brook Trout,Natural Occurrence,44.96000777,-63.15847576
HUBLEY BIG,Brook Trout,Natural Occurrence,44.64662232,-63.82893336
HUBLEY MILL,Brook Trout,Natural Occurrence,44.69509784,-63.85972602
